City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fort st. john,56.2499,-120.8529,292.09,27,75,10.8,CA,1715286715
1,ushuaia,-54.8,-68.3,275.94,75,0,2.06,AR,1715286541
2,grytviken,-54.2811,-36.5092,271.92,83,100,1.41,GS,1715286804
3,west island,-12.1568,96.8225,300.14,83,100,5.66,CC,1715286804
4,vadso,70.0744,29.7487,273.24,69,40,7.2,NO,1715286805
5,tulare,36.2666,-118.8009,297.43,23,0,1.34,US,1715286806
6,port elizabeth,-33.918,25.5701,288.31,95,20,1.03,ZA,1715286806
7,aykhal,66.0,111.5,261.79,97,100,2.21,RU,1715286800
8,kakata,6.53,-10.3517,300.64,95,94,1.18,LR,1715286807
9,hilo,19.7297,-155.09,300.0,74,75,4.12,US,1715286809
10,bethel,41.3712,-73.414,293.27,55,0,4.12,US,1715286567
11,port-aux-francais,-49.35,70.2167,278.84,91,91,16.49,TF,1715286810
12,moissala,8.3404,17.7663,305.3,25,100,2.37,TD,1715286811
13,yellowknife,62.456,-114.3525,290.44,23,40,4.63,CA,1715286811
14,coxim,-18.5067,-54.76,302.29,49,6,2.75,BR,1715286812
15,college,64.8569,-147.8028,284.52,46,75,4.63,US,1715286812
16,edinburgh of the seven seas,-37.0676,-12.3116,285.32,54,79,2.27,SH,1715286813
17,blackmans bay,-43.0167,147.3167,284.67,96,99,1.67,AU,1715286814
18,ad dilam,23.9915,47.1627,299.38,21,45,4.92,SA,1715286814
19,stanley,54.868,-1.6985,289.92,80,20,1.54,GB,1715286815
20,fort bragg,35.139,-79.006,300.48,72,40,7.2,US,1715286815
21,nicoya,10.1483,-85.452,306.72,54,91,3.17,CR,1715286545
22,carnarvon,-24.8667,113.6333,295.82,70,100,2.9,AU,1715286816
23,puryong,42.0606,129.7117,286.0,55,100,1.45,KP,1715286817
24,amuntai,-2.4177,115.2494,296.29,98,36,0.79,ID,1715286818
25,thompson,55.7435,-97.8558,286.24,71,75,3.09,CA,1715286818
26,udachny,66.4167,112.4,263.95,94,91,3.19,RU,1715286819
27,tabou,4.423,-7.3528,301.08,83,100,3.11,CI,1715286819
28,itoman,26.1247,127.6694,293.2,72,40,1.03,JP,1715286820
29,isafjordur,66.0755,-23.124,276.76,69,88,2.44,IS,1715286821
30,birzebbuga,35.8258,14.5269,290.46,88,20,5.66,MT,1715286821
31,fale old settlement,-9.3852,-171.2468,302.24,74,100,2.29,TK,1715286822
32,harstad,68.799,16.5293,276.57,95,90,10.28,NO,1715286822
33,novofedorivka,46.1713,32.3178,285.27,58,100,4.1,UA,1715286823
34,waitangi,-43.9535,-176.5597,281.94,87,99,0.89,NZ,1715286824
35,lamu,-2.2717,40.902,299.28,87,88,7.7,KE,1715286824
36,georgetown,5.4112,100.3354,301.45,89,40,1.54,MY,1715286579
37,darwin,-12.4611,130.8418,300.14,85,75,3.6,AU,1715286564
38,ulety,51.3572,112.4849,275.24,87,100,5.17,RU,1715286827
39,kruisfontein,-34.0033,24.7314,285.31,87,0,1.19,ZA,1715286827
40,lihue,21.9789,-159.3672,299.73,79,100,5.66,US,1715286828
41,nzerekore,7.7562,-8.8179,297.16,93,96,1.34,GN,1715286828
42,pacific grove,36.6177,-121.9166,298.91,63,0,9.39,US,1715286829
43,gao,16.6362,1.637,308.39,9,11,4.04,ML,1715286830
44,thunder bay,48.4001,-89.3168,286.1,41,20,4.63,CA,1715286830
45,aquiraz,-3.9014,-38.3911,302.69,84,100,3.45,BR,1715286674
46,quellon,-43.1167,-73.6167,281.68,83,69,4.7,CL,1715286743
47,olonkinbyen,70.9221,-8.7187,271.23,80,11,8.09,SJ,1715286832
48,queenstown,-31.8976,26.8753,292.3,38,40,1.63,ZA,1715286575
